location,bhk,bathroom,balcony,area_sqft,price_per_sqft,price
Ghaziabad,4,2,1,1414,4207,5948698
Ghaziabad,5,4,2,2071,4899,10145829
Faridabad,3,4,3,1808,4021,7269968
Kolkata,5,1,3,581,12601,7321181
Ghaziabad,5,2,0,1013,4894,4957622
Faridabad,2,1,3,2420,4514,10923880
Delhi,3,3,2,2439,11294,27546066
Gurgaon,3,3,1,1245,8904,11085480
Ahmedabad,3,1,0,1909,11867,22654103
Delhi,5,4,0,1206,8109,9779454
Ghaziabad,4,4,1,970,11179,10843630
Delhi,3,1,3,895,14326,12821770
Delhi,5,1,1,2055,5560,11425800
Kolkata,2,3,3,2808,5266,14786928
Kolkata,4,4,1,1304,14361,18726744
Kolkata,2,1,2,1433,7638,10945254
Delhi,4,3,3,1779,12941,23022039
Ghaziabad,5,4,2,2257,7427,16762739
Ahmedabad,1,2,0,1404,8780,12327120
Greater Noida,4,3,1,1576,5927,9340952
Delhi,2,4,0,2390,6356,15190840
Faridabad,5,4,0,2023,8790,17782170
Ghaziabad,4,3,0,1887,14527,27412449
Delhi,1,2,0,1803,4306,7763718
Ahmedabad,1,3,1,1092,11979,13081068
Greater Noida,3,4,0,2606,7665,19974990
Kolkata,3,1,1,627,14181,8891487
Ghaziabad,2,1,1,1235,11057,13655395
Noida,4,3,2,1020,4661,4754220
Greater Noida,4,4,3,736,8644,6361984
Faridabad,3,1,3,1804,12503,22555412
Delhi,4,4,1,2281,6920,15784520
Ahmedabad,4,3,2,1801,13274,23906474
Noida,1,1,1,2551,12946,33025246
Ahmedabad,3,4,1,941,10236,9632076
Noida,5,1,1,2576,10078,25960928
Ghaziabad,3,3,2,1304,4352,5675008
Noida,5,4,3,574,13094,7515956
Faridabad,1,1,2,2675,11005,29438375
Faridabad,2,3,0,2589,4158,10765062
Gurgaon,4,1,2,1879,14169,26623551
Faridabad,1,1,2,540,4956,2676240
Greater Noida,4,2,2,2581,6071,15669251
Noida,2,2,2,2200,12595,27709000
Faridabad,2,3,3,1901,14971,28459871
Ghaziabad,1,2,0,1087,13579,14760373
Ahmedabad,2,3,3,2122,7453,15815266
Kolkata,5,2,3,841,10675,8977675
Ahmedabad,2,1,2,2574,4955,12754170
Gurgaon,4,3,1,1145,10295,11787775
Ahmedabad,4,3,1,1230,5712,7025760
Noida,4,1,3,667,8703,5804901
Gurgaon,4,3,3,1109,10563,11714367
Noida,5,3,2,2815,13465,37903975
Ghaziabad,3,2,3,2272,9631,21881632
Gurgaon,1,3,2,2540,14817,37635180
Delhi,4,4,1,954,14574,13903596
Greater Noida,2,1,1,2208,13633,30101664
Greater Noida,4,2,0,1201,13989,16800789
Noida,2,2,1,2099,5394,11322006
Ahmedabad,2,4,3,629,13461,8466969
Kolkata,4,1,1,2345,8732,20476540
Kolkata,5,1,2,1886,7714,14548604
Delhi,2,2,1,1192,4529,5398568
Gurgaon,2,3,0,1894,6958,13178452
Delhi,4,2,1,1293,11904,15391872
Delhi,2,1,2,528,7591,4008048
Ahmedabad,2,4,2,648,14339,9291672
Kolkata,4,2,3,1819,10895,19818005
Gurgaon,4,1,1,2558,13131,33589098
Ghaziabad,1,2,2,1636,4525,7402900
Ahmedabad,5,3,0,686,10477,7187222
Delhi,5,2,3,1750,4001,7001750
Delhi,2,2,0,1833,4374,8017542
Ghaziabad,5,1,1,597,14532,8675604
Delhi,2,1,1,554,8648,4790992
Delhi,1,1,1,1257,6365,8000805
Delhi,4,2,3,905,5525,5000125
Greater Noida,4,3,2,2616,5646,14769936
Ahmedabad,4,4,3,1812,4013,7271556
Faridabad,5,4,0,2285,8599,19648715
Ahmedabad,1,1,3,1250,6278,7847500
Ghaziabad,5,1,0,2262,7155,16184610
Delhi,5,2,3,864,12321,10645344
Ahmedabad,1,4,2,2526,7814,19738164
Greater Noida,1,1,0,981,7216,7078896
Kolkata,1,3,1,2748,14232,39109536
Ghaziabad,1,3,1,653,12219,7979007
Noida,4,1,3,2024,6113,12372712
Ahmedabad,3,1,1,2620,13444,35223280
Noida,3,4,0,2843,8356,23756108
Delhi,1,4,1,1540,14238,21926520
Greater Noida,3,2,2,2164,9543,20651052
Greater Noida,3,4,2,1740,8555,14885700
Ahmedabad,1,3,3,560,11062,6194720
Ghaziabad,3,3,0,1438,7374,10603812
Ghaziabad,5,1,2,2139,10430,22309770
Greater Noida,2,4,2,2589,7466,19329474
Ghaziabad,2,2,0,524,7081,3710444
Greater Noida,1,3,1,1562,4629,7230498
Ahmedabad,4,3,1,630,4269,2689470
Faridabad,1,2,3,1752,14831,25983912
Greater Noida,4,2,1,607,14185,8610295
Noida,2,3,0,671,9724,6524804
Ghaziabad,1,3,2,1958,9897,19378326
Greater Noida,5,2,1,601,7432,4466632
Greater Noida,3,3,3,2822,13472,38017984
Ahmedabad,4,1,1,2136,10276,21949536
Ghaziabad,3,1,0,1540,9895,15238300
Faridabad,3,2,3,829,11115,9214335
Ahmedabad,1,4,1,2020,10656,21525120
Faridabad,3,2,3,511,14552,7436072
Kolkata,5,2,0,1841,4575,8422575
Ahmedabad,3,4,2,715,11029,7885735
